FID,SHAPE,BEZEICHNUNG,WL_NUMMER
HALTESTELLEWLOGD.112,POINT (16.27898989870694 48.201550150095706),Baumgartner Friedhof,114
HALTESTELLEWLOGD.113,POINT (16.404739899818583 48.19326015080187),Baumgasse,115
HALTESTELLEWLOGD.114,POINT (16.362839899165277 48.25949015056219),"Nußdorf, Beethovengang",116
HALTESTELLEWLOGD.115,POINT (16.361009899767396 48.17425015059459),Belgradplatz,117
HALTESTELLEWLOGD.116,POINT (16.32851989906581 48.24867015031493),Bellevuestraße,118
HALTESTELLEWLOGD.117,POINT (16.387179898639182 48.262220150479244),Bellgasse,119
HALTESTELLEWLOGD.118,POINT (16.37195989859389 48.19014015006524),Belvederegasse,120
HALTESTELLEWLOGD.119,POINT (16.43953989865003 48.230090150234986),Benatzkygasse,121
HALTESTELLEWLOGD.120,POINT (16.361709899227126 48.21806015024088),Berggasse,122
HALTESTELLEWLOGD.121,POINT (16.25681989849542 48.20139014990236),Bergmillergasse,123
HALTESTELLEWLOGD.122,POINT (16.33529989894698 48.214660150022475),Bergsteiggasse,124
HALTESTELLEWLOGD.123,POINT (16.407489898401348 48.249750150383164),Theodor-Körner-Gasse,125
HALTESTELLEWLOGD.124,POINT (16.38266989934657 48.14287015008958),Berlepschgasse,126
HALTESTELLEWLOGD.125,POINT (16.36343989919806 48.17408015048027),Fernkorngasse,127
HALTESTELLEWLOGD.126,POINT (16.40639989898632 48.28133015062004),Bernreiterplatz,128
HALTESTELLEWLOGD.127,POINT (16.410699899548852 48.249180150740166),Mühlschüttel,129
HALTESTELLEWLOGD.128,POINT (16.410489899237998 48.27566015037604),Berzeliusgasse,130
HALTESTELLEWLOGD.129,POINT (16.434279899222 48.1772801504182),Beschußamt,131
HALTESTELLEWLOGD.130,POINT (16.41573989894554 48.28923015080935),Anton-Schall-Gasse,132
HALTESTELLEWLOGD.131,POINT (16.49237989931774 48.279010150400545),Bettelheimstraße,133
HALTESTELLEWLOGD.132,POINT (16.436749899728323 48.24030015063566),Bezirksamt Donaustadt,134
HALTESTELLEWLOGD.133,POINT (16.354599899379085 48.23891015039448),Döblinger Hauptstr/Gatterburgg,135
HALTESTELLEWLOGD.134,POINT (16.37375989955704 48.178360150333596),Laxenburger Str/Gudrunstraße,136
HALTESTELLEWLOGD.135,POINT (16.35499989928382 48.19068015070531),Bezirksamt Margareten,137
HALTESTELLEWLOGD.136,POINT (16.480939898703387 48.24645015055347),Bibernellweg,138
HALTESTELLEWLOGD.137,POINT (16.283539898293316 48.224640150098615),Bieglerhütte,139
HALTESTELLEWLOGD.138,POINT (16.465119899514836 48.20875015059401),Binsenweg,140
HALTESTELLEWLOGD.139,POINT (16.470689899266816 48.17309015075592),Biomull-Werk,141
HALTESTELLEWLOGD.140,POINT (16.32198989946662 48.18338015009236),Bischoffgasse,142
HALTESTELLEWLOGD.141,POINT (16.39773989982562 48.13807015092102),Bischofgasse,143
HALTESTELLEWLOGD.142,POINT (16.34150989827049 48.23713015009598),Blaasstraße,144
HALTESTELLEWLOGD.143,POINT (16.368269898996317 48.184360150320636),Blechturmgasse,145
HALTESTELLEWLOGD.144,POINT (16.449309899716432 48.17788015032957),Bleibtreustraße,146
